LocationName,LocationID
Akau Tangi Sports Centre,1
Berhampore Nursery,2
Botanic Gardens,3
Boulcott Street,4
Brooklyn Library,5
Churton Park Community Centre,6
Clifton Terrace Carpark,7
Cummings Park Library,8
Freyberg Pool,9
Happy Valley Landfill,10
Island Bay Community Recreation,11
Johnsonville Library,12
Karori Cemetery,13
Karori Community Recreation,14
Karori Library,15
Karori Pool,16
Keith Spry Pool,17
Kilbirnie Community Recreation,18
Kilbirnie Library,19
Library Cluster North,20
Library Cluster South,21
Library Cluster West,22
Manners Street (Hopua),23
Mervyn Kemp Library,24
Nairnville Community Recreation,25
Newlands Community Centre,26
Newtown Library,27
Otari Native Botanic Garden,28
Parks Newtown Depot,29
Remote,30
Tahiwi (The Terrace),31
Tawa Community Centre,32
Tawa Pool,33
Tawa Recreation Centre,34
Te Awe Library (Brandon Street),35
Te Pataka Library (Johnsonville),36
Thorndon Pool,37
Wadestown Library,38
Wellington Archives,39
Wellington Arts Centre,40
Wgtn Regional Aquatic Centre,41
